2020-06-08 16:45:35.525 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 16:48:59.616 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 16:50:49.052 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 16:52:38.697 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 21:43:47.080 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 21:46:37.767 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 21:49:38.681 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 21:50:53.646 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 22:01:04.368 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 22:03:22.644 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 22:04:01.786 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 22:06:42.183 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
2020-06-08 23:05:38.850 DEBUG [main]com.jg.blog.BlogApplicationTests.logStarting:56 -Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE
